row_number,prefecture,city_name,url,confidence,romaji,validated,alt_url_1,alt_url_2
102,北海道,札幌市,https://www.city.sapporo.lg.jp,high,sapporo,0,https://www.city.sapporo.lg.jp,https://www.city.sapporo.hokkai.jp
103,北海道,函館市,https://www.city.hakodate.lg.jp,high,hakodate,0,https://www.city.hakodate.lg.jp,https://www.city.hakodate.hokkai.jp
104,北海道,小樽市,https://www.city.otaru.lg.jp,high,otaru,0,https://www.city.otaru.lg.jp,https://www.city.otaru.hokkai.jp
105,北海道,旭川市,https://www.city.asahikawa.lg.jp,high,asahikawa,0,https://www.city.asahikawa.lg.jp,https://www.city.asahikawa.hokkai.jp
106,北海道,室蘭市,https://www.city.muroran.lg.jp,high,muroran,0,https://www.city.muroran.lg.jp,https://www.city.muroran.hokkai.jp
107,北海道,釧路市,https://www.city.kushiro.lg.jp,high,kushiro,0,https://www.city.kushiro.lg.jp,https://www.city.kushiro.hokkai.jp
108,北海道,帯広市,https://www.city.obihiro.lg.jp,high,obihiro,0,https://www.city.obihiro.lg.jp,https://www.city.obihiro.hokkai.jp
109,北海道,北見市,https://www.city.kitami.lg.jp,high,kitami,0,https://www.city.kitami.lg.jp,https://www.city.kitami.hokkai.jp
110,北海道,夕張市,https://www.city.yuubari.lg.jp,high,yuubari,0,https://www.city.yuubari.lg.jp,https://www.city.yuubari.hokkai.jp
111,北海道,岩見沢市,https://www.city.iwamizawa.lg.jp,high,iwamizawa,0,https://www.city.iwamizawa.lg.jp,https://www.city.iwamizawa.hokkai.jp
112,北海道,網走市,https://www.city.abashiri.lg.jp,high,abashiri,0,https://www.city.abashiri.lg.jp,https://www.city.abashiri.hokkai.jp
113,北海道,留萌市,https://www.city.rumoi.lg.jp,high,rumoi,0,https://www.city.rumoi.lg.jp,https://www.city.rumoi.hokkai.jp
114,北海道,苫小牧市,https://www.city.tomakomai.lg.jp,high,tomakomai,0,https://www.city.tomakomai.lg.jp,https://www.city.tomakomai.hokkai.jp
115,北海道,稚内市,https://www.city.wakkanai.lg.jp,high,wakkanai,0,https://www.city.wakkanai.lg.jp,https://www.city.wakkanai.hokkai.jp
116,北海道,美唄市,https://www.city.bibai.lg.jp,high,bibai,0,https://www.city.bibai.lg.jp,https://www.city.bibai.hokkai.jp
117,北海道,芦別市,https://www.city.ashibetsu.lg.jp,high,ashibetsu,0,https://www.city.ashibetsu.lg.jp,https://www.city.ashibetsu.hokkai.jp
118,北海道,江別市,https://www.city.ebetsu.lg.jp,high,ebetsu,0,https://www.city.ebetsu.lg.jp,https://www.city.ebetsu.hokkai.jp
119,北海道,赤平市,https://www.city.akabira.lg.jp,high,akabira,0,https://www.city.akabira.lg.jp,https://www.city.akabira.hokkai.jp
120,北海道,紋別市,https://www.city.monbetsu.lg.jp,high,monbetsu,0,https://www.city.monbetsu.lg.jp,https://www.city.monbetsu.hokkai.jp
121,北海道,士別市,https://www.city.shibetsu.lg.jp,high,shibetsu,0,https://www.city.shibetsu.lg.jp,https://www.city.shibetsu.hokkai.jp
122,北海道,名寄市,https://www.city.nayoro.lg.jp,high,nayoro,0,https://www.city.nayoro.lg.jp,https://www.city.nayoro.hokkai.jp
123,北海道,三笠市,https://www.city.mikasa.lg.jp,high,mikasa,0,https://www.city.mikasa.lg.jp,https://www.city.mikasa.hokkai.jp
124,北海道,根室市,https://www.city.nemuro.lg.jp,high,nemuro,0,https://www.city.nemuro.lg.jp,https://www.city.nemuro.hokkai.jp
125,北海道,千歳市,https://www.city.chitose.lg.jp,high,chitose,0,https://www.city.chitose.lg.jp,https://www.city.chitose.hokkai.jp
126,北海道,滝川市,https://www.city.takikawa.lg.jp,high,takikawa,0,https://www.city.takikawa.lg.jp,https://www.city.takikawa.hokkai.jp
127,北海道,砂川市,https://www.city.sunagawa.lg.jp,high,sunagawa,0,https://www.city.sunagawa.lg.jp,https://www.city.sunagawa.hokkai.jp
