official_id,name,municipality,prefecture,source_url,extraction_method,last_updated
9da9654f98acf14c,住民登録,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
be1e0219f8d29f0c,上下水道,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
d6e38a89a8d062b4,浄化槽,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
c094c6271403a243,除雪,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
18718a0625124bc5,道路・河川,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
47b05c9166b8e52d,動物・ペット,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
3f5c76e0bd51176f,墓地・墓園,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
9bb6405423407397,消費・生活,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
e82d61413fd88321,くらしの相談,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
1375931a2fbe445f,住まい・土地,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
5ef92a524e74d60f,市営住宅,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
acbd15a04e3fdbea,環境・公害,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
7166ad2c4ce1ac01,市民参加,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
28e88d17f72efa17,町内会,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
ec258b1b90fc8532,市民活動,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
b86c7f9eb3e5dd9e,緑化・公園,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
796d51cec7c4bc6b,税金,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
e605fb12bd97969e,予防接種,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
b7752fd79751a0fc,健康診査,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
471a49e5df0c96f7,成人の検診・検査,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
20b70648e2e2db20,介護保険,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
3506da6b303985ea,後期高齢者医療制,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
49c1b25c5a8d0940,高齢者福祉,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
ab802f7594b9ec35,障害福祉,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
fdc502d5f9dc50f0,健康づくり,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
aec5b0fa712eacd2,医療助成,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
0620c32fd2ec8e6f,生活保護,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
f0af76551c612fe5,国民年金,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
a4a8890824b403bd,国民健康保険,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
9eb15ee0b486374e,地域医療連携,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
06df652a47f4c004,子育て情報,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
0dda1c983aba26cb,子育て相談,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
948e6efead1e36eb,妊娠・出産,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
b6fa8cbcd9f2203b,講座・教室,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
ede3fad5b9ec4c56,助成・手当,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
e2a82f36e6664a34,支援・応援,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
0ef8ed89dd10e8ec,支援プラン・計画,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
8d0ef00a182b9758,こども家庭センターここらん,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
08940e9fd6100718,発達支援,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
30b9b5854ccc66d1,児童館,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
c4ebdbcb951ac604,一時預,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
268bd0cb25fff2e3,保育所,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
ca8fbdfb8273fdcc,小学校,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
3c016d3917a73a56,青少年,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
985d76ee274afdeb,社会教育,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
a4f3963a2f04e656,生涯学習,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
d439e9d2a0682afc,教育委員会,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
b27fece91327f657,市立室蘭看護専門,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
0f70a4f816557d78,文化・芸術,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
c06279188fa609c0,文化財,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
f8a46b7c7816062f,博物館,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
d84eeb7217e6d052,図書館,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
3d22cfb02e4e4ccb,観光情報,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
ccf920faad1dcc0f,雇用・労働,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
027e18a4ec7dc7ab,企業誘致,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
70d86375ea8d08fe,工業,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
b6f3bb30574b0030,経営支援,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
cd3d101d308b87e4,商業,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
225c9a2243037e13,農林水産業,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
a56030b9da94b4ba,卸売市場,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
3bf61385d2dda561,港湾,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
531e8eb01eaa3a2d,公共工事,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
d72244ad9e7f299f,建築,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
4ec3ef200cb94364,開発許可,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
8befd529ea76a795,環境エネルギー・水素,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
c04ded37ad1b47c0,消防本部,Unknown,北海道,https://www.city.muroran.lg.jp,list,2025-10-25 10:23:51
